2023-10-14 04:16:44,032 - tune.py [line:203] - INFO: Namespace(seed=42, model='GPRGNNV2', gpu=1, dataset='geom-squirrel', logging=True, log_detail=True, log_detailedCh=False, id_log=1014014501, optuna_n_trials=202, n_epochs=2000, self_loop=False, udgraph=True, early_stop=True, patience=300, n_hidden=64, n_cv=1, start_cv=0, n_layers=16, lr1=0.02, lr2=0.04, wd1=1e-08, wd2=1e-08, dropout=0.5, dropout2=0.4, alpha=0.4, es_ckpt='woselfloop-geom-squirrel_GPRGNNV2-geom-squirrel_trialNo54')
2023-10-14 04:16:46,415 - tune.py [line:128] - INFO: Split_seeds:[1824]
2023-10-14 04:16:46,415 - tune.py [line:129] - INFO: Model_seeds:[409]
2023-10-14 04:16:47,632 - tune.py [line:103] - INFO: Epoch 00020 | Time(s) 0.0598 | Val Loss 1.4770 | Val Acc 0.3548 | ETputs(KTEPS) 66335.11
2023-10-14 04:16:48,805 - tune.py [line:103] - INFO: Epoch 00040 | Time(s) 0.0591 | Val Loss 1.4778 | Val Acc 0.3788 | ETputs(KTEPS) 67089.11
2023-10-14 04:16:49,989 - tune.py [line:103] - INFO: Epoch 00060 | Time(s) 0.0590 | Val Loss 1.4670 | Val Acc 0.4048 | ETputs(KTEPS) 67294.27
2023-10-14 04:16:51,177 - tune.py [line:103] - INFO: Epoch 00080 | Time(s) 0.0589 | Val Loss 1.4540 | Val Acc 0.4279 | ETputs(KTEPS) 67357.80
2023-10-14 04:16:52,354 - tune.py [line:103] - INFO: Epoch 00100 | Time(s) 0.0588 | Val Loss 1.4504 | Val Acc 0.4337 | ETputs(KTEPS) 67427.35
2023-10-14 04:16:53,526 - tune.py [line:103] - INFO: Epoch 00120 | Time(s) 0.0588 | Val Loss 1.4624 | Val Acc 0.4346 | ETputs(KTEPS) 67495.89
2023-10-14 04:16:54,705 - tune.py [line:103] - INFO: Epoch 00140 | Time(s) 0.0588 | Val Loss 1.4470 | Val Acc 0.4519 | ETputs(KTEPS) 67512.58
2023-10-14 04:16:55,894 - tune.py [line:103] - INFO: Epoch 00160 | Time(s) 0.0588 | Val Loss 1.4366 | Val Acc 0.4615 | ETputs(KTEPS) 67502.70
2023-10-14 04:16:57,082 - tune.py [line:103] - INFO: Epoch 00180 | Time(s) 0.0588 | Val Loss 1.4528 | Val Acc 0.4683 | ETputs(KTEPS) 67479.30
2023-10-14 04:16:58,258 - tune.py [line:103] - INFO: Epoch 00200 | Time(s) 0.0588 | Val Loss 1.4422 | Val Acc 0.4702 | ETputs(KTEPS) 67482.34
2023-10-14 04:16:59,431 - tune.py [line:103] - INFO: Epoch 00220 | Time(s) 0.0588 | Val Loss 1.4310 | Val Acc 0.4817 | ETputs(KTEPS) 67497.90
