2023-10-14 04:25:26,803 - tune.py [line:203] - INFO: Namespace(seed=42, model='GPRGNNV2', gpu=1, dataset='geom-squirrel', logging=True, log_detail=True, log_detailedCh=False, id_log=1014014501, optuna_n_trials=202, n_epochs=2000, self_loop=False, udgraph=True, early_stop=True, patience=300, n_hidden=64, n_cv=1, start_cv=0, n_layers=16, lr1=0.02, lr2=0.04, wd1=1e-06, wd2=1e-08, dropout=0.4, dropout2=0.4, alpha=0.6, es_ckpt='woselfloop-geom-squirrel_GPRGNNV2-geom-squirrel_trialNo66')
2023-10-14 04:25:29,239 - tune.py [line:128] - INFO: Split_seeds:[1824]
2023-10-14 04:25:29,239 - tune.py [line:129] - INFO: Model_seeds:[409]
2023-10-14 04:25:30,440 - tune.py [line:103] - INFO: Epoch 00020 | Time(s) 0.0591 | Val Loss 1.4791 | Val Acc 0.3606 | ETputs(KTEPS) 67102.14
2023-10-14 04:25:31,615 - tune.py [line:103] - INFO: Epoch 00040 | Time(s) 0.0588 | Val Loss 1.5792 | Val Acc 0.3577 | ETputs(KTEPS) 67430.62
2023-10-14 04:25:32,799 - tune.py [line:103] - INFO: Epoch 00060 | Time(s) 0.0587 | Val Loss 1.6672 | Val Acc 0.3952 | ETputs(KTEPS) 67539.32
2023-10-14 04:25:33,976 - tune.py [line:103] - INFO: Epoch 00080 | Time(s) 0.0587 | Val Loss 1.7082 | Val Acc 0.3952 | ETputs(KTEPS) 67567.47
2023-10-14 04:25:35,154 - tune.py [line:103] - INFO: Epoch 00100 | Time(s) 0.0587 | Val Loss 1.7464 | Val Acc 0.4029 | ETputs(KTEPS) 67612.66
2023-10-14 04:25:36,334 - tune.py [line:103] - INFO: Epoch 00120 | Time(s) 0.0587 | Val Loss 1.7560 | Val Acc 0.4308 | ETputs(KTEPS) 67616.73
2023-10-14 04:25:37,514 - tune.py [line:103] - INFO: Epoch 00140 | Time(s) 0.0586 | Val Loss 1.7772 | Val Acc 0.4337 | ETputs(KTEPS) 67646.68
2023-10-14 04:25:38,690 - tune.py [line:103] - INFO: Epoch 00160 | Time(s) 0.0586 | Val Loss 1.7673 | Val Acc 0.4433 | ETputs(KTEPS) 67666.02
2023-10-14 04:25:39,872 - tune.py [line:103] - INFO: Epoch 00180 | Time(s) 0.0586 | Val Loss 1.8099 | Val Acc 0.4596 | ETputs(KTEPS) 67660.41
2023-10-14 04:25:41,064 - tune.py [line:103] - INFO: Epoch 00200 | Time(s) 0.0587 | Val Loss 1.7825 | Val Acc 0.4654 | ETputs(KTEPS) 67562.61
2023-10-14 04:25:42,250 - tune.py [line:103] - INFO: Epoch 00220 | Time(s) 0.0587 | Val Loss 1.8171 | Val Acc 0.4808 | ETputs(KTEPS) 67564.55
2023-10-14 04:25:43,424 - tune.py [line:103] - INFO: Epoch 00240 | Time(s) 0.0587 | Val Loss 1.8363 | Val Acc 0.4788 | ETputs(KTEPS) 67578.64
2023-10-14 04:25:44,591 - tune.py [line:103] - INFO: Epoch 00260 | Time(s) 0.0587 | Val Loss 1.8326 | Val Acc 0.4779 | ETputs(KTEPS) 67612.58
